AAF48236.3	XP_002056844.1	62.0	503	188	1	3	505	1	500	1.02e-217	610
AAF48239.1	XP_002056839.1	84.7	262	40	0	40	301	30	291	7.15e-166	462
AAF48240.1	XP_032296547.1	77.6	1680	215	20	1	1547	1	1651	0.0	2038
AAF48241.1	XP_002056964.1	86.7	249	28	3	1	245	1	248	1.22e-146	409
AAF48242.2	XP_002058042.3	65.8	1134	340	17	34	1146	40	1146	0.0	1426
AAF48244.2	XP_002058043.1	93.0	745	52	0	1	745	1	745	0.0	1360
AAF48245.3	XP_002056961.2	80.6	1265	199	17	1	1252	1	1232	0.0	1650
AAF48246.1	XP_002057203.2	81.3	353	64	1	2	354	5	355	2.96e-213	587
AAF48247.1	XP_002058236.2	62.4	1890	502	38	45	1791	33	1857	0.0	1978
AAF48248.1	XP_002058237.1	90.3	268	26	0	1	268	1	268	1.05e-176	487
AAN09318.1	XP_002056961.2	80.2	1194	191	16	1	1181	71	1232	0.0	1548
AAN09652.1	XP_002058042.3	65.4	1066	321	17	5	1049	108	1146	0.0	1317
AAX52490.2	XP_015025610.1	79.9	1216	198	17	1	1203	1	1183	0.0	1568
ABW09404.2	XP_015025567.1	79.7	745	143	3	70	806	64	808	0.0	1074
ABW09405.1	XP_032296545.1	75.2	1802	271	21	1	1653	1	1775	0.0	2064
AFH07365.1	XP_015025609.1	80.2	1255	203	17	1	1242	1	1222	0.0	1634
AGB95344.1	XP_002056964.1	86.7	249	28	3	1	245	1	248	1.22e-146	409
AGB95345.1	XP_002058042.3	65.4	1066	321	17	5	1049	108	1146	0.0	1319
AGB95346.1	XP_002058042.3	66.0	1136	343	18	34	1155	40	1146	0.0	1432
AGB95347.1	XP_002058042.3	65.6	1068	324	18	5	1058	108	1146	0.0	1323
AGB95348.1	XP_002058043.1	93.0	745	52	0	1	745	1	745	0.0	1360
AGB95349.1	XP_002056961.2	79.6	1282	199	18	1	1269	1	1232	0.0	1640
AGB95350.1	XP_002056961.2	80.2	1194	191	16	1	1181	71	1232	0.0	1548
AGB95351.1	XP_002056961.2	80.7	1218	190	16	1	1205	47	1232	0.0	1580
AGB95352.1	XP_002056961.2	80.7	1218	190	16	1	1205	47	1232	0.0	1580
AGB95353.1	XP_002057203.2	81.3	353	64	1	2	354	5	355	2.96e-213	587
AHN59660.1	XP_002056844.1	62.0	503	188	1	3	505	1	500	1.02e-217	610
AHN59661.1	XP_002056844.1	62.0	503	188	1	3	505	1	500	1.02e-217	610
AHN59662.1	XP_015025567.1	79.7	745	143	3	73	809	64	808	0.0	1074
AHN59663.1	XP_002056839.1	84.7	262	40	0	40	301	30	291	7.15e-166	462
AHN59664.1	XP_002056839.1	84.7	262	40	0	40	301	30	291	7.15e-166	462
AHN59666.1	XP_002058042.3	65.8	1134	340	17	34	1146	40	1146	0.0	1428
AHN59667.1	XP_002057203.2	81.3	353	64	1	2	354	5	355	2.96e-213	587
